time,obj_id,x,y,collision
3.728,0,7.45601,-4269.53,0
3.728,1,0,-4275.03,0
3.744,0,7.48801,-4306.22,0
3.744,1,0,-4311.72,0
3.76,0,7.52001,-4343.07,0
3.76,1,0,-4348.57,0
3.776,0,7.55201,-4380.07,0
3.776,1,0,-4385.57,0
3.792,0,7.58401,-4417.23,0
3.792,1,0,-4422.73,0
3.808,0,7.61601,-4454.55,0
3.808,1,0,-4460.05,0
3.824,0,7.64801,-4492.03,0
3.824,1,0,-4497.53,0
3.84,0,7.68001,-4529.66,0
3.84,1,0,-4535.16,0
3.856,0,7.71201,-4567.45,0
3.856,1,0,-4572.95,0
3.872,0,7.74401,-4605.4,0
3.872,1,0,-4610.9,0
3.88801,0,7.77601,-4643.5,0
3.88801,1,0,-4649,0
3.90401,0,7.80801,-4681.76,0
3.90401,1,0,-4687.26,0
3.92001,0,7.84001,-4720.17,0
3.92001,1,0,-4725.67,0
3.93601,0,7.87201,-4758.75,0
3.93601,1,0,-4764.25,0
3.95201,0,7.90401,-4797.48,0
3.95201,1,0,-4802.98,0
3.96801,0,7.93601,-4836.36,0
3.96801,1,0,-4841.86,0
3.98401,0,7.96801,-4875.41,0
3.98401,1,0,-4880.91,0
4.00001,0,8.00001,-4914.61,0
4.00001,1,0,-4920.11,0
4.01601,0,8.03201,-4953.96,0
4.01601,1,0,-4959.46,0
4.032,0,8.06401,-4993.48,0
4.032,1,0,-4998.98,0
4.048,0,8.09601,-5033.15,0
4.048,1,0,-5038.65,0
4.064,0,8.12801,-5072.97,0
4.064,1,0,-5078.47,0
4.08,0,8.16001,-5112.96,0
4.08,1,0,-5118.46,0
4.096,0,8.19201,-5153.1,0
4.096,1,0,-5158.6,0
4.112,0,8.22401,-5193.4,0
4.112,1,0,-5198.9,0
4.128,0,8.25601,-5233.85,0
4.128,1,0,-5239.35,0
4.144,0,8.28801,-5274.46,0
4.144,1,0,-5279.96,0
4.16,0,8.32001,-5315.23,0
4.16,1,0,-5320.73,0
4.176,0,8.35201,-5356.16,0
4.176,1,0,-5361.66,0
4.192,0,8.38401,-5397.24,0
4.192,1,0,-5402.74,0
4.208,0,8.41601,-5438.48,0
4.208,1,0,-5443.98,0
4.224,0,8.448,-5479.87,0
4.224,1,0,-5485.37,0
4.24,0,8.48,-5521.42,0
4.24,1,0,-5526.92,0
4.256,0,8.512,-5563.13,0
4.256,1,0,-5568.63,0
4.272,0,8.544,-5605,0
4.272,1,0,-5610.5,0
4.288,0,8.576,-5647.02,0
4.288,1,0,-5652.52,0
4.304,0,8.608,-5689.2,0
4.304,1,0,-5694.7,0
4.32,0,8.64,-5731.54,0
4.32,1,0,-5737.04,0
4.336,0,8.672,-5774.03,0
4.336,1,0,-5779.53,0
4.352,0,8.704,-5816.68,0
